               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 128,            0.020238,            0.009625,                   0,             0.92402,             0.89528,             0.93779,             0.52419,            0.029683,           0.0063605,                   0,           0.0015121,           0.0015121,           0.0015121
                 129,            0.019929,            0.010291,                   0,             0.92193,             0.87117,             0.93744,             0.52404,            0.029482,           0.0063381,                   0,           0.0014693,           0.0014693,           0.0014693
                 130,            0.019131,           0.0091427,                   0,             0.91893,             0.91411,             0.93846,              0.5207,             0.02967,           0.0061971,                   0,           0.0014283,           0.0014283,           0.0014283
                 131,            0.020527,           0.0098908,                   0,             0.92903,             0.88334,             0.93785,             0.51418,            0.029468,           0.0063482,                   0,            0.001389,            0.001389,            0.001389
                 132,            0.019727,           0.0096585,                   0,             0.93503,             0.88295,             0.94016,             0.51839,            0.029835,            0.006479,                   0,           0.0013516,           0.0013516,           0.0013516
                 133,            0.020411,             0.01014,                   0,             0.92993,             0.89565,             0.94439,             0.52069,             0.02966,           0.0062747,                   0,            0.001316,            0.001316,            0.001316
                 134,            0.019936,            0.010026,                   0,             0.90332,             0.92025,             0.94374,             0.50694,            0.029983,           0.0062762,                   0,           0.0012822,           0.0012822,           0.0012822
                 135,            0.019415,           0.0096974,                   0,             0.90285,             0.91411,             0.94355,             0.52964,            0.029234,            0.006373,                   0,           0.0012503,           0.0012503,           0.0012503
                 136,            0.020252,            0.010834,                   0,             0.91186,             0.88957,             0.92655,             0.51524,            0.029735,           0.0064167,                   0,           0.0012202,           0.0012202,           0.0012202
                 137,            0.019584,           0.0091837,                   0,             0.90551,             0.88344,             0.92238,             0.51234,            0.030033,            0.006393,                   0,           0.0011921,           0.0011921,           0.0011921
                 138,            0.018812,           0.0099147,                   0,             0.92193,             0.87117,             0.91517,             0.49394,            0.030258,            0.006464,                   0,           0.0011658,           0.0011658,           0.0011658
                 139,            0.020098,           0.0098592,                   0,             0.92356,             0.88944,             0.93194,             0.51121,            0.029752,           0.0063495,                   0,           0.0011414,           0.0011414,           0.0011414
                 140,            0.019746,            0.010402,                   0,             0.87332,             0.93252,             0.93138,             0.52093,            0.029904,           0.0063422,                   0,           0.0011189,           0.0011189,           0.0011189
                 141,            0.019271,           0.0090362,                   0,             0.97191,             0.85276,             0.94094,             0.53826,            0.029074,            0.006262,                   0,           0.0010983,           0.0010983,           0.0010983
                 142,            0.018836,           0.0090939,                   0,             0.91082,             0.87718,             0.92684,             0.52745,            0.029316,           0.0063992,                   0,           0.0010797,           0.0010797,           0.0010797
                 143,            0.019252,           0.0096203,                   0,             0.89024,             0.89565,             0.91848,             0.50856,            0.030066,           0.0065936,                   0,            0.001063,            0.001063,            0.001063
                 144,            0.018778,           0.0092868,                   0,             0.92718,             0.86503,             0.92055,             0.53016,             0.02937,           0.0064341,                   0,           0.0010483,           0.0010483,           0.0010483
                 145,            0.018929,           0.0099879,                   0,             0.92254,              0.8773,             0.93482,              0.5182,            0.029553,           0.0064434,                   0,           0.0010355,           0.0010355,           0.0010355
                 146,            0.019455,           0.0094149,                   0,             0.90682,             0.89556,             0.93607,             0.53581,            0.029014,           0.0063468,                   0,           0.0010247,           0.0010247,           0.0010247
                 147,             0.01891,           0.0087584,                   0,             0.88479,             0.89517,             0.91367,             0.52828,            0.029481,           0.0063753,                   0,           0.0010158,           0.0010158,           0.0010158
                 148,            0.019569,           0.0097338,                   0,             0.90119,             0.89529,             0.93507,             0.52811,            0.029636,           0.0065149,                   0,           0.0010089,           0.0010089,           0.0010089
                 149,            0.019299,           0.0088567,                   0,             0.88164,             0.91398,             0.93785,             0.53031,            0.029358,           0.0064205,                   0,           0.0010039,           0.0010039,           0.0010039
